Matrix Size,Block Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
4096,64,1,90.0815,1525.72,71224943778,113762520213
4096,64,2,89.4448,1536.58,71225280668,113536328418
4096,64,3,89.4784,1536,71225492928,113559442301
4096,64,4,89.3883,1537.55,71225258190,113526844180
4096,64,5,89.3664,1537.93,71225287014,113508293179
4096,64,Median,89.4448,1536.58,,
4096,64,Average Time,89.5519,1534.74,,
4096,128,1,89.049,1543.41,70055636162,113964881001
4096,128,2,88.9884,1544.46,70055613513,113901106531
4096,128,3,88.7633,1548.38,70055675911,113949410960
4096,128,4,88.3458,1555.69,70055287557,113874612814
4096,128,5,88.3813,1555.07,70055348870,113880429261
4096,128,Median,88.7633,1548.38,,
4096,128,Average Time,88.7056,1549.38,,
4096,256,1,88.1711,1558.77,69478066081,113605278378
4096,256,2,88.1589,1558.99,69478129664,113584467361
4096,256,3,88.2106,1558.08,69478190626,113622896994
4096,256,4,88.2684,1557.06,69478450414,113599618153
4096,256,5,88.1943,1558.37,69478072739,113596548912
4096,256,Median,88.1943,1558.37,,
4096,256,Average Time,88.2006,1558.25,,
4096,512,1,370.245,371.211,70198823527,74074056709
4096,512,2,367.914,373.563,70202264646,74079747084
4096,512,3,368.822,372.643,70199737073,74077314522
4096,512,4,368.39,373.08,70209299431,74099834489
4096,512,5,367.603,373.879,70209302806,74100019105
4096,512,Median,368.39,373.08,,
4096,512,Average Time,368.595,372.873,,
Matrix Size,Block Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
6144,64,1,296.46,1564.65,240268894468,365393746871
6144,64,2,296.117,1566.46,240273612259,365406726117
6144,64,3,296.082,1566.65,240273667143,365380384320
6144,64,4,296.105,1566.53,240273736331,365383288221
6144,64,5,298.424,1554.36,240277037168,366461150115
6144,64,Median,296.117,1566.46,,
6144,64,Average Time,296.638,1563.71,,
6144,128,1,295.654,1568.91,236399537271,374604163521
6144,128,2,294.636,1574.34,236398822715,374129873317
6144,128,3,294.676,1574.13,236398843098,374152270871
6144,128,4,294.85,1573.19,236399242199,374181026292
6144,128,5,297.146,1561.04,236400685680,375434487046
6144,128,Median,294.85,1573.19,,
6144,128,Average Time,295.392,1570.31,,
6144,256,1,295.096,1571.89,234465125984,373731384342
6144,256,2,294.886,1573,234464776564,373750851514
6144,256,3,294.491,1575.11,234464036839,373950282284
6144,256,4,294.009,1577.69,234463342971,373636977434
6144,256,5,293.789,1578.88,234463002854,373611500806
6144,256,Median,294.491,1575.11,,
6144,256,Average Time,294.454,1575.31,,
6144,512,1,345.746,1341.61,234903935225,370615341134
6144,512,2,345.799,1341.4,234900147665,370602613237
6144,512,3,344.939,1344.75,234890380290,370588590312
6144,512,4,345.614,1342.12,234906298428,370602763694
6144,512,5,345.904,1341,234907838155,370611679332
6144,512,Median,345.746,1341.61,,
6144,512,Average Time,345.601,1342.17,,
Matrix Size,Block Size,Iteration,Time,MFLOPs,L1 Misses,L2 Misses
8192,64,1,720.358,1526.34,569995270136,942209938165
8192,64,2,720.136,1526.81,570003529779,942260177861
8192,64,3,720.098,1526.89,570003088927,942194205746
8192,64,4,720.151,1526.78,570003385269,942163330630
8192,64,5,719.923,1527.26,570003174681,942190075172
8192,64,Median,720.136,1526.81,,
8192,64,Average Time,720.133,1526.82,,
8192,128,1,720.67,1525.68,560494263445,951152925375
8192,128,2,721.006,1524.97,560495159316,951252989490
