Matrix Size: 600
Iteration,Time
1, 0.257076
2, 0.301973
3, 0.313931
4, 0.33293
5, 0.33329
Median,0.313931
Average Time,0.30784

Matrix Size: 1000
Iteration,Time
1, 1.69091
2, 1.53561
3, 1.18099
4, 1.10202
5, 1.14571
Median,1.18099
Average Time,1.33105

Matrix Size: 1400
Iteration,Time
1, 3.71408
2, 3.58139
3, 3.59201
4, 3.42306
5, 3.36565
Median,3.58139
Average Time,3.53524

Matrix Size: 1800
Iteration,Time
1, 10.6312
2, 8.28559
3, 5.50275
4, 6.2426
5, 5.39321
Median,6.2426
Average Time,7.21108

Matrix Size: 2200
Iteration,Time
1, 21.0562
2, 20.6246
3, 20.4419
4, 20.4377
5, 20.3163
Median,20.4419
Average Time,20.5754

Matrix Size: 2600
Iteration,Time
1, 52.1455
2, 52.067
3, 52.3505
4, 51.4938
5, 51.6797
Median,52.067
Average Time,51.9473

Matrix Size: 3000
Iteration,Time
1, 96.1124
2, 96.6016
3, 95.1866
4, 95.3853
5, 95.6121
Median,95.6121
Average Time,95.7796

